,축제명,주소,연락처,시작일,종료일,위도,경도
12,감물 및 봉숭아 물들이기 체험행사 2020,제주특별자치도 서귀포시 표선면 민속해안로 631-34,064-787-4501,2020-07-24,2020-08-02,33.3213162956,126.8431022619
13,감악문화축제 2019,경기도 양주시 남면 감악산로244번길 189,"031-867-5683, 031-8082-7572",2019-09-08,2019-09-08,37.8931800166,126.9738399010
14,감악산 해맞이 2020,경상남도 거창군 신원면,010-2712-4482,2020-01-01,2020-01-01,35.5953250627,127.9274012896
15,갓바위소원성취축제 2019,경산시 와촌면 대한리 갓바위 공영주차장,053-851-0022,2019-08-31,2019-09-01,35.9781440703,128.7573259398
16,강남페스티벌 가로수길 그래피티 낙서해봐 2019,서울특별시 강남구 도산대로13길,02-576-5313,2019-09-28,2019-09-28,37.5186022892,127.0234738367
17,강동선사문화축제 2019,서울특별시 강동구 올림픽로 875,02-3425-5240,2019-10-11,2019-10-13,37.5606243328,127.1303240272
18,강동톡페스티벌 2019,서울특별시 강동구 상암로 168,"강일 427-4004, 성내 471-0044, 해공 478-9656, 암사 429-0476, 천호 488-7223",2019-11-02,2019-11-02,37.5457151498,127.1412123500
19,강릉 관노가면극 2019,강원도 강릉시 율곡로3139번길 24,-,2019-04-13,2019-11-03,37.7782679956,128.8766149376
20,강릉 단오제 2020,강원도 강릉시 단오장길 1,033-641-1593,2020-06-21,2020-06-28,37.7482134974,128.8950169869
21,강릉 문화재야행 2020,강원도 강릉시 임영로131번길 6,033-823-3213,2020-09-10,2020-09-12,37.7532267491,128.8920698750
22,강릉 소금강산채마을 산채푸드페스티벌 2019,강원도 강릉시 연곡면 소금강길 8,033-660-3152,2019-05-25,2019-05-26,37.8493286048,128.7025117835
23,강릉 커피나무축제 2019,강원도 강릉시 왕산면 왕산로 2171-19,"033-655-6644, 033-652-5599",2019-05-30,2019-06-02,37.6522391209,128.7848937448
24,강릉 하트불꽃크루즈 2020,강원도 강릉시 주문진읍 해안로 1730,1522-8905,2020-01-01,2020-12-31,37.8895291758,128.8285935985
25,강릉 K-POP콘서트 2019,강원도 강릉시 종합운동장길 69,033-640-2018,2019-10-04,2019-10-04,37.7737772578,128.8976131841
26,강릉국제영화제(GIFF) 2019,강원도 강릉시 종합운동장길 84,033-647-6807,2019-11-08,2019-11-14,37.7716996777,128.8954273345
27,강릉빙상스포츠페스티벌 2019,강원도 강릉시 종합운동장길 32,070-7791-3165,2019-08-15,2019-08-18,37.7737410517,128.8925247549
28,강릉소금강청학제 2019,강원도 강릉시 연곡면 삼산리 56,연곡면사무소 033-660-3681~2,2019-10-12,2019-10-13,37.8136133361,128.7044765951
29,강북구 근현대사 역사탐방여행 2019,서울특별시 강북구 화계사길 117,02-761-2588,2019-04-13,2019-10-20,37.6325109780,127.0070665450
30,강북구 산악문화제 2019,서울특별시 강북구 우이동 186-5,02-901-6227,2019-09-21,2019-09-21,37.6615103869,127.0072768111
31,"강우방선생과 함께하는 한국회화의 금자탑, 민화 읽는 법 2019",광주광역시 북구 하서로 110국립광주박물관,062-570-7068,2019-08-28,2019-08-28,35.1890917442,126.8830624113
32,강원 국제 모터페스타 2019,강원도 인제군 기린면 상하답로 130,02-6740-7860,2019-08-31,2019-09-01,38.0012086833,128.2950634635
33,강원 산나물한마당축제 2019,강원도 춘천시 평화로 1,033-255-5458,2019-04-26,2019-04-28,37.8855029718,127.7215607554
34,"강원과학기술대축전, 강원 지식재산 페스티벌 2019",강원도 춘천시 서면 박사로 882,070-7005-6870,2019-09-06,2019-09-07,37.8951540906,127.6927991992
35,강원그린박람회 2019,강원도 춘천시 평화로 26,033-260-9320,2019-06-14,2019-06-16,37.8813589518,127.7184944906
36,강진 영랑문학제 2019,전라남도 강진군 강진읍 영랑생가길 15,영랑기념사업회 061-434-0103,2019-04-26,2019-04-27,34.6420874867,126.7652585191
37,강진만 춤추는 갈대축제 2020,전라남도 강진군 강진읍 남당로 97-111,061-430-3352,2020-10-23,2020-11-01,34.6201595364,126.7739666192
38,강진청자축제 2020,전라남도 강진군 대구면 청자촌길 33,061-430-3352,2020-10-08,2020-10-13,34.5075226164,126.8011114048
39,강화 문화재 야행 2020,인천 강화군 강화읍 관청리,"032-930-3515, 032-932-5464",2020-09-11,2020-09-12,37.7487881453,126.4855748369
40,강화 빙어축제 2020,인천광역시 강화군 송해면 전망대로423번길 161,032-933-3266,2019-12-21,2020-02-20,37.8001841894,126.4438577810
41,"강화도 빙어, 송어 축제 2020",인천광역시 강화군 내가면 고비고개로741번길 37-30,032-933-1366,2019-12-14,2020-03-01,37.7202402100,126.4136461171
42,강화도 송어빙어축제 2020,인천광역시 강화군 양도면 중앙로787번길 8-2,"010-6664-4354, 010-7617-6606",2019-12-21,2020-03-01,37.6984402831,126.4312173349
43,강화섬포도축제 2019,"인천광역시 강화군 길상면 초지리 1375-1, 초지대교 앞",032-930-4140,2019-09-21,2019-09-22,37.6264420922,126.5307380038
44,개천절 대제전 2019,서울특별시 종로구 인왕산로 22,02-736-6375,2019-10-03,2019-10-03,37.5758807095,126.9657719166
45,개화산 해맞이 2020,서울특별시 강서구 개화동,02-2600-6455,2020-01-01,2020-01-01,37.5821048853,126.8047169862
46,거문도백도 은빛바다축제 2019,전남 여수시 삼산면 거문리,1899-2012,2019-08-02,2019-08-04,34.0249238346,127.3106896352
47,거제 대구 수산물축제 2019,경상남도 거제시 장목면 외포5길 34,055-369-4273,2019-12-21,2019-12-22,34.9396463829,128.7194799643
48,거제 바다로세계로 2019,경상남도 거제시 계룡로11길 26,055-639-4784,2019-08-01,2019-08-04,34.8829397876,128.6184763736
49,거제 어린이 축제 2019,경상남도 거제시 계룡로11길 26,055-639-3823,2019-05-05,2019-05-05,34.8829397876,128.6184763736
50,거제 장승포항 송년불꽃축제 2019,경상남도 거제시 장승로 146-25,055-639-3944,2019-12-31,2019-12-31,34.8673851544,128.7271117837
51,거제맥주축제 2019,경상남도 거제시 장승포동 685-3,055-639-3373,2019-08-27,2019-08-31,34.8669324083,128.7260813301
52,거제섬꽃축제 2020,경상남도 거제시 거제면 거제남서로 3577,055-639-6443,2020-10-31,2020-11-08,34.8565698127,128.5795665696
53,거창 국화전시 2019,경상남도 거창군 신원면 신차로 2924,055)940-8510,2019-10-25,2019-11-10,35.5565877844,127.9278050664
54,거창 크리스마스트리문화축제 2019,경상남도 거창군 거창읍 중앙로 103,070-8809-9182,2019-12-01,2020-01-27,35.6866949586,127.9095393091
55,거창한마당대축제 2019,경상남도 거창군 거창읍 심소정길 39-36,055-940-8460,2019-09-26,2019-09-29,35.6951331926,127.9263598180
56,건강서울페스티벌 2019,서울시청 광장(서울 중구 을지로 12),070-7575-2352,2019-09-22,2019-09-22,37.5659098804,126.9787932340
57,건어물맥주축제 2019,서울특별시 중구 을지로36길 35,02-3396-4114,2019-09-20,2019-09-20,37.5650631700,127.0018689332
58,"걷자,도심보행길! 2019",서울특별시 종로구 세종대로,서울특별시 보행정책과<br>02-2133-2428,2019-05-12,2019-10-13,37.5752198371,126.9747822252
59,겨울공주 군밤축제 2020,충청남도 공주시 고마나루길 90,1899-0088,2020-01-10,2020-01-12,36.4666363013,127.1075869625
60,겨울왕국제천 페스티벌 2020,충청북도 제천시 의림대로14길 4 제천 시내 및 의림지 일원,043-645-4997,2019-12-20,2020-01-27,37.1383347045,128.2112051410
61,견우직녀 축제 2019,대전광역시 서구 둔산대로 169,042-330-3915,2019-08-02,2019-08-04,36.3664721764,127.3880117687
62,경기 다독다독 축제 2019,경기도 의정부시 청사로 1,031-8008-4628,2019-06-01,2019-06-01,37.7502067435,127.0695824781
63,경기과학축전 & 수원정보과학축제 2019,경기도 수원시 영통구 광교중앙로 140,수원시 정보통신과 정보기획팀 031-228-2671,2019-10-18,2019-10-19,37.2858799237,127.0594632301
64,경기도자페어 2019,서울특별시 서초구 강남대로 27,031-645-0653,2019-12-05,2019-12-08,37.4672141004,127.0396016001
65,경기전 사람들 - 이야기술사 2020,전라북도 전주시 완산구 한지길 102,063-232-9938,2020-06-06,2020-10-31,35.8158642143,127.1538417800
66,경기전 수복청 상설공연 2020,전라북도 전주시 완산구 한지길 102,063-232-9937,2020-06-06,2020-11-01,35.8158642143,127.1538417800
67,경남 만화·웹툰 페스티벌 2019,경상남도 창원시 의창구 충혼로 91,055-230-8863,2019-11-08,2019-11-09,35.2340984224,128.6601994410
68,경남고성공룡세계엑스포 2021,경상남도 고성군 회화면 당항만로 1116,055)670-3816,2021-09-17,2021-11-07,35.0581190364,128.4007962584
69,경복궁 별빛야행 2020,서울특별시 종로구 사직로 161,02-3210-4806,2020-08-19,2020-08-31,37.5788944508,126.9770319156
70,경복궁 생과방 2020,서울특별시 종로구 사직로 161 경복궁,"02-3210-4807, 070-7704-6631",2020-07-29,2020-10-12,37.5788944508,126.9770319156
71,경복궁 야간 특별관람 2020,서울특별시 종로구 사직로 161,02-3700-3918,2020-09-02,2020-10-31,37.5816246501,126.9748959222
72,경복궁 자경전 다례체험행사 2019,서울특별시 종로구 사직로 161,02-3210-4683,2019-10-09,2019-10-20,37.5801415223,126.9767430185
73,경복궁 주·야간 전통공연 「고궁음악회」2019,서울특별시 종로구 사직로 161,1600-0064,2019-04-27,2019-10-27,37.5788222356,126.9769930325
74,경북사과홍보행사 2019,서울특별시 중구 세종대로 110 서울광장,053-743-2882,2019-11-05,2019-11-07,37.5666625635,126.9784043599
75,경북영주 풍기인삼축제 2020,경상북도 영주시 풍기읍 봉현면 오현리,054-635-0020,2020-10-09,2020-10-18,36.8719154882,128.5167077783
76,경북착한사과 페스티벌 2019,서울특별시 중구 세종대로 110,"053-743-2882~5, 053-961-8969",2019-11-05,2019-11-07,37.5665986816,126.9783710306
77,경상남도연극제 2020,경상남도 통영시 남망공원길 29,055-746-7413,2020-06-13,2020-06-23,34.8423603636,128.4286550814
78,경주 도자기축제 2020,경상북도 경주시 용담로 79-48,054-779-6234,2020-10-30,2020-11-08,35.8606602717,129.2090867870
79,경주 문화재야행 2020,경북 경주시 교동 71,054-779-6102,2020-09-04,2020-09-06,35.8314720272,129.2157786981
80,경주 프리마켓 봉황장터 2019,경상북도 경주시 봉황로 33-1,054-779-6232,2019-01-01,2019-12-31,35.8425289998,129.2098539025
81,경주국악여행 2019,경상북도 경주시 보문로 338,054-777-6930,2019-04-07,2019-09-21,35.8503627225,129.2772172203
82,"경포 해넘이, 해맞이 축제 2020",강원도 강릉시 창해로 514,"033-640-5530, 5913",2019-12-31,2020-01-01,37.8057293080,128.9074446419
83,계룡산 산신제 2020,충청남도 공주시 계룡면 양화리 165번지,010-5807-4344,2020-10-30,2020-11-01,36.3336333187,127.1771648605
84,계룡세계군문화엑스포 2021,충청남도 계룡시 신도안면 정장리 16,042-840-3907,2021-10-01,2021-10-17,36.3068152207,127.2371213251
85,계촌마을 클래식 거리축제 2019,강원도 평창군 방림면 계촌길 63,02-960-0714,2019-08-15,2019-08-17,37.4530112700,128.3039208605
86,고니골빛축제 2019,강원도 원주시 호저면 호저로 1277-43,033-732-9585,2019-11-15,2020-02-16,37.4800230785,127.9154662381
87,"고려인삼 페스티벌 '우리라서 삼, 좋다' 2019",서울특별시 용산구 남산공원길 105 남산서울타워 1층 광장,070-4808-3887,2019-09-21,2019-09-22,37.5511312042,126.9878594933
88,고령 대가야 달빛상점 2019,경상북도 고령군 대가야읍 신남로 81,"054)950-6425, 6652",2019-11-01,2019-11-16,35.7118958019,128.2692652160
89,고령대가야체험축제 2020,경상북도 고령군 대가야읍 대가야로   1216,054-954-2347,2020-09-11,2020-09-12,35.7200863680,128.2596852822
90,고마나루 전국 향토연극제 2019,충청남도 공주시 고마나루길 5,041-855-7519,2019-10-30,2019-11-06,36.4600121262,127.1112756996
91,고복수 가요제 2020,울산광역시 남구 문수로 44,052-258-1116,2020-08-29,2020-08-29,35.5352867733,129.2595610237
92,고성 하늬라벤더팜 라벤더축제 2020,강원도 고성군 간성읍 꽃대마을길 175,라벤더마을  033-681-0005,2020-06-01,2020-06-23,38.3486205333,128.4150501452
93,고성 DMZ 크리스마스 페스티벌 2019,강원도 고성군 현내면 명파4길 44,033-680-3352,2019-12-21,2019-12-22,38.5435281237,128.4047477449
94,고성군민의날 및 수성문화제 2019,강원도 고성군 간성읍 수성로 87,033-680-3368,2019-09-23,2019-09-25,38.3761682935,128.4652585958
95,고성통일명태축제 2019,강원도 고성군 거진읍 해오름해변길 125,033-682-8008,2019-10-17,2019-10-20,38.4398023173,128.4541909408
96,고양가을꽃축제 2020,경기도 고양시 일산동구 호수로 595,031-908-7750~2,2020-09-26,2020-10-11,37.6538792239,126.7686654803
97,고양국제꽃박람회 2021,경기도 고양시 일산동구 호수로 595,031-908-7750~2,2021-04-30,2021-05-16,37.6539736577,126.7686849202
98,고양호수예술축제 2020,경기도 고양시 일산동구 호수로 595,031-960-9682/9738,2020-09-24,2020-09-27,37.6538792239,126.7686654803
99,고창 한국지역도서전 2019,전라북도 고창군 해리면 월봉성산길 88,책마을해리(070-4175-0914)<br>고창군립도서관(063-560-8052),2019-05-09,2019-05-12,35.4700309828,126.4832936337
100,고창 해풍고추축제 2020,전라북도 고창군 해리면 청해1길 15,063-560-2533,2020-08-22,2020-08-23,35.4611162404,126.5378112270
101,고창가을꽃잔치 2019,전라북도 고창군 공음면 학원농장길 158-6,보리나라 학원농장 063-564-9897,2019-07-20,2019-10-27,35.3755288115,126.5428045873
102,고창모양성제 2020,전라북도 고창군 고창읍 모양성로 1,063-560-2949,2020-10-21,2020-10-25,35.4315946094,126.7042193959
103,고한 함백산 야생화축제 2020,강원도 정선군 고한읍 고한6길 15-2,033-592-5455,2020-08-08,2020-08-23,37.2006452900,128.8544539785
104,곡성심청축제 2019,전라남도 곡성군 오곡면 기차마을로 232,"061-363-8379, 061-360-8348",2019-10-03,2019-10-06,35.2775723415,127.3082975874
105,곰소젓갈발효축제 2019,전라북도 부안군 진서면 곰소8길 16,063-580-4777,2019-10-03,2019-10-05,35.5886252553,126.6136790447
106,공재문화제 2019,전라남도 해남군 현산면 백포길 122,061-532-1330,2019-09-21,2019-09-21,34.4405921370,126.5184433933
107,공주 문화재야행 2020,충청남도 공주시 제민천길 일원,041-840-8204,2020-08-28,2020-08-29,36.4544351759,127.1219804447
108,과천 국립현대미술관 '균열 Ⅱ: 세상을 보는 눈/ 영원을 향한 시선' 2019,경기도 과천시 광명로 313,043-261-1400,2018-09-18,2019-09-22,37.4338148075,127.0178073023
109,과천 국립현대미술관 '소장품전: 근대를 수놓은 그림' 2019,경기도 과천시 광명로 313,02-2188-6000,2018-07-11,2019-06-23,37.4338148075,127.0178073023
110,과천축제 2020,경기도 과천시 관문로 64,02-504-0938,2020-09-24,2020-09-27,37.4275927964,126.9892711841
111,관광산업 일자리박람회 2019,서울특별시 강남구 영동대로 513,02-2486-9295~6,2019-10-29,2019-10-30,37.5117148467,127.0594429796
112,관악 강감찬축제 2019,서울특별시 관악구 낙성대로 77 낙성대공원,"강감찬축제사무국(02-882-2019, 02-879-5603)",2019-10-17,2019-10-19,37.4714260798,126.9603170296
113,광나루어울마당 2019,서울특별시 광진구 광장동 401-14 광진숲나루,02-450-1114,2019-10-05,2019-10-05,37.5465448386,127.0985439876
114,광명가족극장 2020,경기도 광명시 시청로 20,02-2621-8853,2020-08-07,2020-08-15,37.4786040931,126.8646172095
115,광명동굴 대한민국 와인 페스티벌 2019,경기도 광명시 가학로85번길 142,02-2680-0952,2019-12-13,2019-12-15,37.4246631131,126.8634188301
116,광복 74주년 기념 음악회 2019,서울특별시 종로구 세종대로 175 세종문화회관,1588-1210,2019-08-15,2019-08-15,37.5722396646,126.9768321230
117,광복로 연등문화제 2020,부산광역시 중구 광복중앙로 3,051-600-4062,2020-04-30,2020-05-30,35.0995675166,129.0311568706
118,광안리 새해맞이 2020,부산광역시 수영구 광안해변로 219,051-610-4112,2020-01-01,2020-01-01,35.1516077265,129.1173479525
119,광양전어축제 2019,전남 광양시 진월면 망덕포구 무접섬광장,061-797-3679,2019-08-30,2019-09-01,34.9763085581,127.7605822012
120,광주 맥주축제 ‘비어고을 광주’ 2019,광주광역시 광산구 송정로8번길 13,010-3082-1467,2019-07-05,2019-07-06,35.1364211589,126.7919634533
121,광주 프린지페스티벌 2020,광주광역시 남구 천변좌로338번길 7,062-223-0410,2020-09-04,2020-11-14,35.1479801537,126.9086639556
122,광주 ACE Fair 2019,광주광역시 서구 상무누리로 30,ACE Fair 사무국 062-611-2246,2019-09-26,2019-09-29,35.1469291222,126.8405366718
123,광주국제식품전 2020,광주광역시 서구 상무누리로 30,062-611-2213,2020-11-12,2020-11-15,35.1467180358,126.8405588979
124,광주국제차문화전시회 2020,광주광역시 서구 상무누리로 30,"062)611-2212, 2254~6",2020-09-24,2020-09-27,35.1467180358,126.8405588979
125,광주문화재야행 '동구 달빛걸음' 2020,광주광역시 동구 서남로 1,062-608-8828,2020-07-03,2020-07-04,35.1455501169,126.9231210717
126,광주비엔날레 2021,광주광역시 북구 비엔날레로 111,062-608-4114,2021-02-26,2021-05-09,35.1825648257,126.8902647155
127,광주세계김치축제 2019,광주광역시 남구 김치로 60 광주김치타운,062-613-6431,2019-10-25,2019-10-27,35.1085894527,126.8669936233
128,광주예술난장 굿판 2019,광주광역시 남구 포충로 937,062-676-3844,2019-08-31,2019-09-01,35.0856531497,126.8668358759
129,광진교 페스티벌 2019,서울특별시 강동구 광진교,02-3425-5240,2019-08-31,2019-08-31,37.5437204751,127.1156258464
130,괴산 유기농페스티벌 2019,충청북도 괴산군 괴산읍 임꺽정로 90 괴산군청 앞 유기농엑스포광장,043-830-3114,2019-09-20,2019-09-21,36.8154306620,127.7867247329
131,교산허균 문화제 2019,강원도 강릉시 난설헌로193번길 1-16,070-8802-9009,2019-09-21,2019-09-22,37.7919253993,128.9099753965
132,구덕골 문화예술제 2019,부산광역시 서구 엄광산로107번길 43,"서구청 문화관광과 051-240-4064~4, 부산서구문화원 051-231-4085",2019-10-09,2019-10-09,35.1255336836,129.0109968049
133,구례동편소리축제 · 송만갑판소리고수대회 2019,전라남도 구례군 구례읍 서시천로 76-11,061-780-2727,2019-10-03,2019-10-06,35.2157626349,127.4681045233
134,구로G페스티벌 2020,서울특별시 구로구 가마산로 245,02-860-2282,2020-09-01,2020-09-27,37.4955247594,126.8875507563
135,구로거리공원 벚꽃축제 2019,서울특별시 구로구 공원로 71,구로5동 주민센터 (02-2620-7603),2019-04-06,2019-04-06,37.5027933722,126.8882921511
136,구로청소년축제 2019,서울특별시 구로구 가마산로 245,02-860-2140,2019-10-12,2019-10-12,37.4955247594,126.8875507563
137,구리 코스모스축제 2019,경기도 구리시 토평동 829,031-550-2065,2019-09-27,2019-09-29,37.5757004764,127.1368230057
138,구문소 용축제 2019,강원도 태백시 사군드리길 7 구문소관광단지,"033-550-2607  구문소동 행정복지센터, 구문소축제위원회",2019-06-29,2019-06-30,37.0932944861,129.0380047012
139,구미사랑 페스티벌 2019,경상북도 구미시 낙동제방길 200,070-4066-0429,2019-10-12,2019-10-12,36.1311806135,128.3680615834
140,구미시 청년페스티벌 2019,경상북도 구미시 산동면 첨단기업1로 17,054-479-2052,2019-10-27,2019-10-27,36.1418640583,128.4400299140
141,국립김해박물관 설맞이 전통문화행사 2020,경상남도 김해시 가야의길 190,055-320-6821,2020-01-24,2020-01-27,35.2430235419,128.8734583601
142,"국립김해박물관 특별전 ""황금문명 엘도라도 -신비의 보물을 찾아서-"" 2019",경상남도 김해시 가야의길 190,1688-0527,2018-11-27,2019-03-03,35.2429513344,128.8738222186
143,국립대구박물관 설맞이 문화행사 2020,대구광역시 수성구 청호로 321,053-768-6051~2,2020-01-24,2020-01-27,35.8456846315,128.6378790585
144,"국립대구박물관 '이영희 기증 복식, 새바람' 2019",대구광역시 수성구 청호로 321,053-768-6051<br>053-768-8543,2019-05-18,2019-09-15,35.8489064482,128.6356847177
145,국립민속박물관 단오축제 2019,서울특별시 종로구 삼청로 37,문의: 섭외교육과 02-3704-3103<br />어린이박물관 02-3704-4506,2019-06-07,2019-06-07,37.5789139318,126.9792039392
146,"국립민속박물관 어린이박물관 '푸르른 오월, 어린이세상' 2019",서울특별시 종로구 삼청로 37,02-3704-4525,2019-05-05,2019-05-05,37.5820413408,126.9789372085
147,국립민속박물관 우리민속한마당,서울특별시 종로구 삼청로 37,02-3704-3114,2020-01-01,2020-12-31,37.5819663482,126.9788705506
148,국립민속박물관 정월대보름 한마당 2019,서울특별시 종로구 삼청로 37,02-3704-3114,2019-02-18,2019-02-18,37.5819774581,126.9788594400
149,국립민속박물관과 함께하는 한가위 큰마당 2019,서울특별시 종로구 삼청로 37,"02-3704-3127, 4524",2019-09-14,2019-09-15,37.5818441344,126.9785233635
150,국립부여박물관 설맞이 어울마당 2020,충청남도 부여군 부여읍 금성로 5,041-830-8413,2020-01-24,2020-01-27,36.2763825813,126.9189645227
151,국립아시아문화전당 어린이가족문화축제 'HOW FUN 5' 2019,광주광역시 동구 문화전당로 38,1899-5566,2019-05-04,2019-05-06,35.1467693755,126.9202851804
152,국립전주박물관 설 대보름 맞이 문화축전 2020,전라북도 전주시 완산구 쑥고개로 249,063-223-5651~2,2020-01-24,2020-02-08,35.8013230910,127.0897200882
153,국립전주박물관 어린이축제 2019,전라북도 전주시 완산구 쑥고개로 249,"063) 223-5651, 220-1000",2019-05-05,2019-05-05,35.8012314343,127.0897256458
154,국립진주박물관 설맞이 문화행사 2020,경상남도 진주시 남강로 626-35,055-740-0693,2020-01-24,2020-01-27,35.1889652253,128.0768878142
155,국립춘천박물관 입춘·설·대보름 맞이 우리문화 한마당 2020,강원도 춘천시 우석로 70,033-260-1500,2020-01-24,2020-01-27,37.8640310702,127.7537834602
156,국악로 국악대축제 2019,서울특별시 종로구 율곡로 99,02) 744-8051,2019-05-11,2019-05-11,37.5825915097,126.9919137882
157,국제 그린카 전시회 2019,광주광역시 서구 상무누리로 30,062-611-2265,2019-06-20,2019-06-22,35.1467624742,126.8405033459
158,국제 스페셜 뮤직&아트페스티벌 2019,강원도 평창군 대관령면 솔봉로 325,02-447-1179,2019-07-15,2019-07-18,37.6646525475,128.6915128866
159,국제게임전시회 지스타 2019,부산광역시 해운대구 APEC로 55 벡스코,02-6203-4001,2019-11-14,2019-11-17,35.1691116738,129.1363347095
160,국제기구-MICE 커리어페어 2019,인천광역시 연수구 센트럴로 123,운영사무국 070.4814.0116,2019-09-27,2019-09-27,37.3890356252,126.6461951621
161,국제무형유산영상축제(IIFF) 2020,전라북도 전주시 완산구 서학로 95,iiff2020_ucc@naver.com,2020-09-11,2020-09-13,35.8096094714,127.1596803132
162,국제전기자동차엑스포 2020,제주특별자치도 서귀포시 중문관광로 224,064-702-1580,2020-06-17,2020-06-20,33.2413184587,126.4245292209
163,국제종자박람회 2020,온라인개최,063-219-8831~5,2020-10-15,2020-11-11,35.8558248270,126.9058794948
164,국제차문화대전 2020,서울특별시 강남구 영동대로 513,02-6000-8000,2020-07-16,2020-07-19,37.5112648981,127.0594124394
165,국제창작문화축제 '장항선셋페스티벌' 2019,충청남도 서천군 장항읍 장항로161번길 27,041-950-4431,2019-10-02,2019-10-06,36.0129421851,126.6953025686
166,국제해양영화제 2020,부산광역시 해운대구 수영강변대로 120,051-790-9414,2020-07-23,2020-07-25,35.1711196124,129.1271521198
167,국제현대무용제(MODAFE) 2020,서울특별시 종로구 대학로10길 15-15 해안빌딩 602호,02-763-5351,2020-05-14,2020-05-29,37.5825333800,127.0028600144
168,국토정중앙 달맞이축제 2019,강원도 양구군 양구읍 박수근로 366-33,033-480-2510(양구문화원)<br>033-480-2230(양구군청),2019-02-19,2019-02-19,38.1064460195,127.9814860049
169,군산근대역사박물관 설명절 근대마을 큰잔치 2020,전라북도 군산시 해망로 240,063-454-5953,2019-02-04,2019-02-06,35.9907894448,126.7120044249
170,군산시간여행축제 2020,전라북도 군산시 중앙로 178,063-454-3333,2020-10-09,2020-10-11,35.9877620079,126.7117267503
171,군장병e스포츠대회 2019,강원도 인제군 인제읍 비봉로44번길 113,-,2019-07-05,2019-07-06,38.0582467709,128.1641736160
172,굴구지 피래미축제 2019,경상북도 울진군 근남면 왕피천로 634,054-782-3737,2019-06-15,2019-06-16,36.9228837986,129.3427105035
173,궁디팡팡 캣페스타 2020,서울특별시 서초구 강남대로 27,070-8866-6668,2020-06-19,2020-06-21,37.4683111849,127.0390127336
174,궁중과 사대부가의 전통음식축제 2019,서울특별시 종로구 삼일대로 464(운현궁),02-2148-1858,2019-10-11,2019-10-12,37.5761782792,126.9870644117
175,궁중문화축전 2020,서울특별시 종로구 사직로 161,02-3210-4684,2020-09-25,2020-10-25,37.5788222356,126.9769930325
176,그랑꼬또와 함께하는 와인 페스티벌 in 대부도 2019,경기도 안산시 단원구 뻐꾹산길 107,032-886-9873,2019-08-30,2019-08-31,37.2574469987,126.5825156964
177,그랜드민트페스티벌 2019 (GMF 2019),서울특별시 송파구 올림픽로 424,-,2019-10-19,2019-10-20,37.5194456386,127.1224425827
178,그린플러그드 서울 2019,서울특별시 마포구 한강난지로 162,070-4209-5332,2019-05-18,2019-05-19,37.5679022179,126.8740888353
179,글로벌 프렌즈쉽 페스티벌 2019,서울특별시 광진구 능동로 216 서울어린이대공원 열린무대,02-780-8821,2019-11-02,2019-11-02,37.5499524589,127.0809371600
180,글로벌 SW교육 컨퍼런스 2019,서울특별시 중구 소월로 50,02-559-3841,2019-10-07,2019-10-07,37.5553943754,126.9754466146
181,금강문화관 사생대회 2019,충청남도 부여군 부여읍 북포로 451,041-830-0661,2019-09-27,2019-09-27,36.3171005161,126.9405753938
