기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2018	서대문구	138,549	323,080	153,816	169,264	310,313	149,569	160,744	12,767	4,247	8,520	-	-	2.24	50,456
2018	마포구	172,505	386,359	182,573	203,786	375,077	178,240	196,837	11,282	4,333	6,949	-	-	2.17	50,833
2018	양천구	176,498	468,145	230,457	237,688	464,185	228,634	235,551	3,960	1,823	2,137	-	-	2.63	58,045
2018	강서구	258,503	603,611	293,289	310,322	596,949	290,079	306,870	6,662	3,210	3,452	-	-	2.31	79,660
2018	구로구	172,457	438,486	219,949	218,537	404,497	200,417	204,080	33,989	19,532	14,457	-	-	2.35	61,801
2018	금천구	107,971	254,021	130,398	123,623	233,917	118,915	115,002	20,104	11,483	8,621	-	-	2.17	35,739
2018	영등포구	171,085	403,600	203,319	200,281	367,778	183,224	184,554	35,822	20,095	15,727	-	-	2.15	55,673
2018	동작구	177,176	409,385	198,458	210,927	396,203	192,533	203,670	13,182	5,925	7,257	-	-	2.24	59,479
2018	관악구	262,222	520,040	260,742	259,298	501,957	252,160	249,797	18,083	8,582	9,501	-	-	1.91	72,249
2018	서초구	172,918	438,163	209,977	228,186	433,951	207,868	226,083	4,212	2,109	2,103	-	-	2.51	54,751
2018	강남구	228,775	547,453	262,203	285,250	542,364	259,611	282,753	5,089	2,592	2,497	-	-	2.37	67,085
2018	송파구	270,866	673,507	326,849	346,658	666,635	323,526	343,109	6,872	3,323	3,549	-	-	2.46	81,364
2018	강동구	177,247	431,920	213,853	218,067	427,573	211,816	215,757	4,347	2,037	2,310	-	-	2.41	58,770
